Name,Symbol,MarketCap(USD),Price,Volume (24h),Change (%1h),Change (%24h),Change (7d)
Bitcoin,BTC,"$977,183,107,139","$52,279.25","$55,029,469,244",0.26%,4.08%,-8.01%
Ethereum,ETH,"$285,986,670,180","$2,473.45","$38,111,434,521",1.04%,10.46%,10.11%
Binance Coin,BNB,"$81,615,082,118",$531.93,"$4,140,015,148",1.15%,7.74%,1.84%
XRP,XRP,"$51,207,667,491",$1.13,"$10,206,382,128",0.15%,6.23%,-21.89%
Tether,USDT,"$50,003,734,066",$0.9999,"$109,995,440,441",-0.01%,-0.01%,-0.01%
Cardano,ADA,"$37,806,816,889",$1.18,"$2,836,150,635",1.23%,5.70%,-9.26%
Dogecoin,DOGE,"$34,210,705,633",$0.2645,"$6,927,542,620",-1.59%,-4.87%,-19.69%
Polkadot,DOT,"$29,541,689,026",$31.67,"$2,004,544,398",0.04%,7.22%,-16.62%
Uniswap,UNI,"$18,486,267,784",$35.32,"$1,353,148,253",0.27%,14.67%,9.88%
Litecoin,LTC,"$15,938,349,436",$238.77,"$4,490,991,751",0.93%,4.16%,-13.77%
Bitcoin Cash,BCH,"$15,121,409,044",$807.80,"$3,729,170,691",0.19%,3.00%,-20.08%
Chainlink,LINK,"$14,219,885,327",$33.94,"$1,577,682,118",0.63%,6.67%,-17.71%
Solana,SOL,"$12,525,524,447",$46.42,"$1,688,478,439",1.49%,11.40%,50.37%
VeChain,VET,"$11,799,381,721",$0.1835,"$2,300,300,168",0.88%,3.32%,-28.82%
USD Coin,USDC,"$11,243,010,691",$1,"$2,063,688,950",0.01%,0.01%,-0.02%
Stellar,XLM,"$10,290,281,055",$0.449,"$1,236,729,098",1.60%,4.85%,-19.86%
THETA,THETA,"$10,284,200,469",$10.28,"$567,764,149",6.22%,16.48%,-15.53%
Filecoin,FIL,"$9,511,309,830",$139.39,"$1,280,795,094",0.09%,4.07%,-12.27%
Wrapped Bitcoin,WBTC,"$8,220,541,380","$52,348.07","$207,273,876",0.41%,4.06%,-7.90%
TRON,TRX,"$7,861,763,453",$0.1097,"$2,809,783,935",1.04%,4.29%,-24.89%
Binance USD,BUSD,"$6,976,645,809",$1.00,"$5,089,547,867",0.02%,0.02%,0.02%
Terra,LUNA,"$6,769,948,511",$18.02,"$978,734,379",2.02%,10.99%,33.18%
Monero,XMR,"$6,671,552,616",$372.81,"$716,072,499",0.51%,-6.40%,9.00%
Neo,NEO,"$6,027,276,390",$85.45,"$2,083,530,289",0.70%,4.47%,-31.51%
Klaytn,KLAY,"$5,827,551,267",$2.37,"$103,695,945",2.47%,14.54%,-4.86%
PancakeSwap,CAKE,"$5,360,326,334",$33.42,"$1,133,255,593",3.29%,17.61%,40.88%
EOS,EOS,"$5,135,203,244",$5.39,"$2,478,264,650",-0.26%,4.09%,-26.40%
IOTA,MIOTA,"$5,138,984,332",$1.85,"$244,257,835",4.12%,8.52%,-22.83%
Aave,AAVE,"$4,736,975,847",$379.32,"$557,111,986",1.92%,16.55%,-1.91%
Bitcoin SV,BSV,"$4,693,791,186",$250.79,"$1,164,875,116",0.09%,5.46%,-24.60%
FTX Token,FTT,"$4,681,174,165",$49.62,"$122,102,913",0.84%,7.82%,-3.53%
Crypto.com Coin,CRO,"$4,524,087,012",$0.1791,"$105,314,886",0.39%,6.90%,-13.99%
BitTorrent,BTT,"$4,496,550,185",$0.006813,"$1,241,533,935",0.00%,1.17%,-16.29%
Cosmos,ATOM,"$4,223,453,715",$20.04,"$517,507,651",-0.31%,7.23%,-9.07%
Maker,MKR,"$3,966,335,707","$3,985.31","$320,423,681",-0.25%,0.96%,10.80%
Tezos,XTZ,"$3,713,764,440",$4.84,"$269,687,452",2.25%,5.31%,-24.09%
Ethereum Classic,ETC,"$3,626,865,568",$31.18,"$2,161,640,738",0.52%,3.96%,-17.60%
Dai,DAI,"$3,630,989,057",$1,"$501,578,310",0.05%,0.00%,0.07%
Algorand,ALGO,"$3,424,609,773",$1.17,"$284,025,208",3.18%,5.51%,-21.18%
Huobi Token,HT,"$3,310,261,832",$18.11,"$412,409,194",0.38%,3.22%,0.96%
Avalanche,AVAX,"$3,037,182,928",$23.60,"$157,632,431",1.57%,5.82%,-18.91%
Compound,COMP,"$3,012,288,674",$593.48,"$449,094,173",1.64%,5.52%,18.12%
Kusama,KSM,"$2,901,591,599",$342.57,"$185,590,013",1.53%,11.21%,-16.75%
THORChain,RUNE,"$2,884,763,726",$12.27,"$154,516,933",-2.90%,8.50%,-23.71%
Bitcoin BEP2,BTCB,"$2,854,475,744","$52,281.67","$267,121,353",1.52%,4.05%,-7.79%
Elrond,EGLD,"$2,752,755,973",$158.63,"$94,426,557",2.43%,5.93%,-16.73%
Dash,DASH,"$2,676,832,131",$265.14,"$878,217,321",1.43%,1.79%,-16.88%
NEM,XEM,"$2,647,574,063",$0.2942,"$196,485,288",1.22%,6.37%,-27.52%
Decred,DCR,"$2,560,078,992",$199.05,"$69,821,544",0.81%,6.51%,-12.46%
Polygon,MATIC,"$2,532,359,964",$0.4881,"$609,363,076",16.65%,31.33%,31.29%
Zcash,ZEC,"$2,466,630,014",$211.98,"$587,168,785",0.49%,1.50%,-18.17%
Chiliz,CHZ,"$2,379,300,956",$0.4259,"$576,900,187",2.21%,7.13%,-23.62%
UNUS SED LEO,LEO,"$2,295,374,806",$2.30,"$3,163,692",-1.27%,1.63%,3.52%
Holo,HOT,"$2,248,963,646",$0.01329,"$399,416,153",3.19%,6.88%,-22.80%
Hedera Hashgraph,HBAR,"$2,212,846,965",$0.2737,"$332,508,027",3.17%,8.38%,-12.39%
Stacks,STX,"$2,178,729,216",$1.95,"$26,516,188",2.87%,8.30%,-3.16%
Nexo,NEXO,"$1,936,681,535",$3.46,"$12,791,441",0.11%,4.38%,-2.77%
TerraUSD,UST,"$1,870,994,944",$1.00,"$55,138,126",0.02%,0.16%,0.21%
Decentraland,MANA,"$1,855,126,517",$1.18,"$216,382,424",0.69%,5.12%,-15.44%
Enjin Coin,ENJ,"$1,841,977,560",$2.21,"$260,313,849",1.17%,7.14%,-18.46%
NEAR Protocol,NEAR,"$1,771,723,115",$4.92,"$92,660,960",1.72%,11.33%,-5.22%
Synthetix,SNX,"$1,737,774,702",$15.13,"$103,767,995",1.33%,9.85%,-15.92%
Zilliqa,ZIL,"$1,743,539,605",$0.1555,"$180,294,179",2.52%,6.64%,-24.75%
The Graph,GRT,"$1,727,029,560",$1.39,"$133,175,467",3.33%,9.09%,-18.99%
Basic Attention Token,BAT,"$1,722,582,394",$1.15,"$521,952,518",1.33%,10.12%,-15.29%
DigiByte,DGB,"$1,710,075,586",$0.12,"$155,690,176",4.08%,7.28%,-16.96%
Siacoin,SC,"$1,619,203,667",$0.03403,"$331,863,906",1.97%,6.41%,-27.77%
Theta Fuel,TFUEL,"$1,594,281,280",$0.3025,"$69,947,737",5.73%,23.02%,-6.82%
yearn.finance,YFI,"$1,556,183,726","$42,478.13","$329,145,408",1.31%,6.13%,-22.41%
UMA,UMA,"$1,506,423,745",$25.07,"$103,343,442",-1.05%,19.14%,-20.51%
SushiSwap,SUSHI,"$1,484,263,588",$11.66,"$341,036,356",0.26%,7.96%,-15.09%
Celsius,CEL,"$1,470,235,724",$6.16,"$11,923,115",1.28%,-0.33%,-2.66%
Bitcoin Gold,BTG,"$1,454,872,289",$83.07,"$161,598,317",-1.27%,2.98%,-14.89%
Waves,WAVES,"$1,443,498,153",$13.76,"$97,696,262",1.63%,2.71%,-0.38%
Horizen,ZEN,"$1,361,028,624",$123.57,"$138,039,156",-0.51%,16.44%,12.30%
Qtum,QTUM,"$1,269,093,639",$12.91,"$971,786,502",0.55%,4.34%,-36.41%
Ravencoin,RVN,"$1,233,754,739",$0.1428,"$137,199,747",2.44%,4.43%,-28.54%
Ontology,ONT,"$1,207,848,655",$1.49,"$521,831,993",2.17%,7.20%,-36.71%
Celo,CELO,"$1,187,932,376",$5.80,"$128,671,427",2.87%,1.01%,42.62%
ICON,ICX,"$1,140,758,703",$1.90,"$130,719,912",2.75%,13.01%,-20.05%
Helium,HNT,"$1,142,273,003",$14.25,"$14,501,241",1.01%,9.23%,-7.13%
0x,ZRX,"$1,134,558,041",$1.45,"$184,242,557",1.72%,6.54%,-19.80%
Revain,REV,"$1,098,008,210",$0.01291,"$5,303,140",-0.18%,-0.15%,-0.07%
Bancor,BNT,"$1,096,170,204",$6.14,"$110,301,502",0.94%,4.12%,-14.32%
SwissBorg,CHSB,"$1,089,422,031",$1.09,"$4,268,564",1.49%,3.21%,8.23%
OKB,OKB,"$1,026,326,741",$17.11,"$257,525,370",0.23%,-1.19%,-3.76%
Nano,NANO,"$1,025,378,766",$7.70,"$146,776,463",-0.45%,4.73%,-29.96%
Reserve Rights,RSR,"$1,020,107,031",$0.07752,"$149,022,834",1.64%,8.14%,-17.27%
Harmony,ONE,"$1,011,712,373",$0.1075,"$79,110,364",1.80%,5.94%,-17.32%
Flow,FLOW,"$976,525,355",$28.75,"$50,842,707",-0.08%,5.72%,-14.30%
Arweave,AR,"$960,621,834",$28.77,"$29,091,229",-1.84%,16.02%,17.45%
Ankr,ANKR,"$952,133,162",$0.1361,"$90,436,474",0.83%,6.64%,-16.89%
